timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1605995332666,4,Get Login.aspx,200,OK,Thread Group 1-2,text,true,,4662,441,2,2,http://192.168.2.4/blog/Account/login.aspx,4,0,0
1605995339233,37,Post Login.aspx,200,OK,Thread Group 1-2,text,true,,35974,2390,2,2,http://192.168.2.4/blog/,6,0,0
1605995332021,33,Choose Predefined Date,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,31599,1214,2,2,null,0,8042,0
1605995340062,33,Get posts using dates from CSV,200,OK,Thread Group 1-1,text,true,,31599,1214,2,2,http://192.168.2.4/blog/2020/10/07/default,32,0,0
1605995342463,22,Get Random Number from Current Page,200,OK,Thread Group 1-1,text,true,,34349,1229,2,2,http://192.168.2.4/blog/2020/10/07/default?page=2,22,0,0
1605995339271,26,Choose Predefined Date,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,31283,1214,2,2,null,0,3419,0
1605995342689,26,Get posts using dates from CSV,200,OK,Thread Group 1-2,text,true,,31283,1214,2,2,http://192.168.2.4/blog/2020/10/06/default,26,0,0
1605995342504,49,Open Random Post,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,55810,1227,2,2,null,0,5255,0
1605995347735,49,Open post,200,OK,Thread Group 1-1,text,true,,55810,1227,2,2,http://192.168.2.4/blog/post/bkyhzch,46,0,0
1605995350867,20,Get Random Number from Current Page,200,OK,Thread Group 1-2,text,true,,35670,1229,2,2,http://192.168.2.4/blog/2020/10/06/default?page=2,20,0,0
1605995350896,43,Open Random Post,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,58699,1227,2,2,null,0,8273,0
1605995359156,43,Open post,200,OK,Thread Group 1-2,text,true,,58699,1227,2,2,http://192.168.2.4/blog/post/njcarul,41,0,0
1605995347808,667,Edit Random Post,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-1,,true,,74549,7222,2,2,null,0,61442,2
1605995353473,21,Get EDIT Page,200,OK,Thread Group 1-1,text,true,,20109,1281,2,2,http://192.168.2.4/blog/admin/app/editor/editpost.cshtml?id=6e011504-7204-493c-9928-510a0a3c2857,20,0,0
